case_id,base_id,source_id,family,severity,pixel_auroc,iou_at_clean_pixel_q95,positive_map_inside_outside_ratio,mask_fraction
esp_019559_1390_red-0576_foreign_content_0.3,esp_019559_1390_red-0576,esp_019559_1390,foreign_content,0.3,0.669288727772184,0.0,1.2995208501815796,0.03228759765625
esp_019559_1390_red-0576_foreign_content_0.5,esp_019559_1390_red-0576,esp_019559_1390,foreign_content,0.5,0.4209204355875651,0.0,0.484658807516098,0.0625
esp_016781_2055_red-0188_stripes_0.15,esp_016781_2055_red-0188,esp_016781_2055,stripes,0.15,,0.14691162109375,,1.0
esp_016781_2055_red-0188_stripes_0.3,esp_016781_2055_red-0188,esp_016781_2055,stripes,0.3,,0.05322265625,,1.0
esp_016781_2055_red-0188_stripes_0.5,esp_016781_2055_red-0188,esp_016781_2055,stripes,0.5,,0.017822265625,,1.0
esp_016781_2055_red-0188_dead_pixels_0.15,esp_016781_2055_red-0188,esp_016781_2055,dead_pixels,0.15,0.7812857519227091,0.0171990171990172,2.0511598587036133,0.00518798828125
esp_016781_2055_red-0188_dead_pixels_0.3,esp_016781_2055_red-0188,esp_016781_2055,dead_pixels,0.3,0.7727063634040379,0.0311787072243346,2.159956693649292,0.0079345703125
esp_016781_2055_red-0188_dead_pixels_0.5,esp_016781_2055_red-0188,esp_016781_2055,dead_pixels,0.5,0.7696207142868456,0.04873563218390804,2.082961082458496,0.01190185546875
esp_016781_2055_red-0188_missing_patch_0.15,esp_016781_2055_red-0188,esp_016781_2055,missing_patch,0.15,0.5952818128797743,0.009533898305084746,1.093906283378601,0.015625
esp_016781_2055_red-0188_missing_patch_0.3,esp_016781_2055_red-0188,esp_016781_2055,missing_patch,0.3,0.7013123420602232,0.041330398630472,1.5171853303909302,0.03228759765625
esp_016781_2055_red-0188_missing_patch_0.5,esp_016781_2055_red-0188,esp_016781_2055,missing_patch,0.5,0.7205862681070964,0.10426540284360189,1.6355527639389038,0.0625
esp_016781_2055_red-0188_local_blur_0.15,esp_016781_2055_red-0188,esp_016781_2055,local_blur,0.15,0.5621230729338837,0.0057166190281747655,0.952153742313385,0.08355712890625
esp_016781_2055_red-0188_local_blur_0.3,esp_016781_2055_red-0188,esp_016781_2055,local_blur,0.3,0.5466414687287153,0.00502138739073833,0.9049034714698792,0.11285400390625
esp_016781_2055_red-0188_local_blur_0.5,esp_016781_2055_red-0188,esp_016781_2055,local_blur,0.5,0.53578574400712,0.0050570962479608485,0.8814409375190735,0.15875244140625
esp_016781_2055_red-0188_patch_duplication_0.15,esp_016781_2055_red-0188,esp_016781_2055,patch_duplication,0.15,0.5420205252511161,0.0,0.8947772979736328,0.015625
esp_016781_2055_red-0188_patch_duplication_0.3,esp_016781_2055_red-0188,esp_016781_2055,patch_duplication,0.3,0.5587595285488349,0.0,0.9381502270698547,0.03228759765625
esp_016781_2055_red-0188_patch_duplication_0.5,esp_016781_2055_red-0188,esp_016781_2055,patch_duplication,0.5,0.5538770675659179,0.000576036866359447,0.9560710787773132,0.0625
esp_016781_2055_red-0188_foreign_content_0.15,esp_016781_2055_red-0188,esp_016781_2055,foreign_content,0.15,0.42982943095858134,0.0,0.6359462738037109,0.015625
esp_016781_2055_red-0188_foreign_content_0.3,esp_016781_2055_red-0188,esp_016781_2055,foreign_content,0.3,0.40802672375300975,0.0,0.5772702693939209,0.03228759765625
esp_016781_2055_red-0188_foreign_content_0.5,esp_016781_2055_red-0188,esp_016781_2055,foreign_content,0.5,0.31046466827392577,0.0,0.3995053768157959,0.0625
esp_016613_2570_red-0034_stripes_0.15,esp_016613_2570_red-0034,esp_016613_2570,stripes,0.15,,0.6405029296875,,1.0
esp_016613_2570_red-0034_stripes_0.3,esp_016613_2570_red-0034,esp_016613_2570,stripes,0.3,,0.5155029296875,,1.0
esp_016613_2570_red-0034_stripes_0.5,esp_016613_2570_red-0034,esp_016613_2570,stripes,0.5,,0.3790283203125,,1.0
esp_016613_2570_red-0034_dead_pixels_0.15,esp_016613_2570_red-0034,esp_016613_2570,dead_pixels,0.15,0.5191517391088206,0.0038047756494358435,1.0500080585479736,0.0045166015625
esp_016613_2570_red-0034_dead_pixels_0.3,esp_016613_2570_red-0034,esp_016613_2570,dead_pixels,0.3,0.5923721411703814,0.007294640025372661,1.2473946809768677,0.0069580078125
esp_016613_2570_red-0034_dead_pixels_0.5,esp_016613_2570_red-0034,esp_016613_2570,dead_pixels,0.5,0.6718156479062423,0.015831706788115376,1.4238014221191406,0.01055908203125
esp_016613_2570_red-0034_missing_patch_0.15,esp_016613_2570_red-0034,esp_016613_2570,missing_patch,0.15,0.25670248364645337,0.0032414910858995136,0.5692185163497925,0.015625
esp_016613_2570_red-0034_missing_patch_0.3,esp_016613_2570_red-0034,esp_016613_2570,missing_patch,0.3,0.38067899125999505,0.015554532903819604,0.6953743696212769,0.03228759765625
esp_016613_2570_red-0034_missing_patch_0.5,esp_016613_2570_red-0034,esp_016613_2570,missing_patch,0.5,0.44810555775960287,0.04776001578843497,0.7893489003181458,0.0625
esp_016613_2570_red-0034_local_blur_0.15,esp_016613_2570_red-0034,esp_016613_2570,local_blur,0.15,0.667944181457695,0.09857492200016865,1.2540534734725952,0.08355712890625
esp_016613_2570_red-0034_local_blur_0.3,esp_016613_2570_red-0034,esp_016613_2570,local_blur,0.3,0.6140422318481917,0.12361668989261415,1.2033133506774902,0.11285400390625
esp_016613_2570_red-0034_local_blur_0.5,esp_016613_2570_red-0034,esp_016613_2570,local_blur,0.5,0.6476967946879605,0.19357899731140282,1.2560441493988037,0.15875244140625
esp_016613_2570_red-0034_patch_duplication_0.15,esp_016613_2570_red-0034,esp_016613_2570,patch_duplication,0.15,0.4404970199342758,0.012782019387492493,0.8574197292327881,0.015625
esp_016613_2570_red-0034_patch_duplication_0.3,esp_016613_2570_red-0034,esp_016613_2570,patch_duplication,0.3,0.5512299257388705,0.032244269586041735,1.0291670560836792,0.03228759765625
esp_016613_2570_red-0034_patch_duplication_0.5,esp_016613_2570_red-0034,esp_016613_2570,patch_duplication,0.5,0.5283645629882813,0.06567796610169492,1.0476512908935547,0.0625
esp_016613_2570_red-0034_foreign_content_0.15,esp_016613_2570_red-0034,esp_016613_2570,foreign_content,0.15,0.14018128410218253,0.0,0.34061309695243835,0.015625
esp_016613_2570_red-0034_foreign_content_0.3,esp_016613_2570_red-0034,esp_016613_2570,foreign_content,0.3,0.15174379820907694,0.00033475604653109047,0.4031737148761749,0.03228759765625
esp_016613_2570_red-0034_foreign_content_0.5,esp_016613_2570_red-0034,esp_016613_2570,foreign_content,0.5,0.15220864613850912,0.0002333177788147457,0.39507588744163513,0.0625
esp_017395_1700_red-0007_stripes_0.15,esp_017395_1700_red-0007,esp_017395_1700,stripes,0.15,,0.0,,1.0
esp_017395_1700_red-0007_stripes_0.3,esp_017395_1700_red-0007,esp_017395_1700,stripes,0.3,,6.103515625e-05,,1.0
esp_017395_1700_red-0007_stripes_0.5,esp_017395_1700_red-0007,esp_017395_1700,stripes,0.5,,0.0001220703125,,1.0
esp_017395_1700_red-0007_dead_pixels_0.15,esp_017395_1700_red-0007,esp_017395_1700,dead_pixels,0.15,0.9085168667032809,0.7475728155339806,13.373480796813965,0.00628662109375
esp_017395_1700_red-0007_dead_pixels_0.3,esp_017395_1700_red-0007,esp_017395_1700,dead_pixels,0.3,0.8633258714422769,0.6875,12.570442199707031,0.00970458984375
esp_017395_1700_red-0007_dead_pixels_0.5,esp_017395_1700_red-0007,esp_017395_1700,dead_pixels,0.5,0.888670323012011,0.719626168224299,13.982400894165039,0.01300048828125
esp_017395_1700_red-0007_missing_patch_0.15,esp_017395_1700_red-0007,esp_017395_1700,missing_patch,0.15,0.9676332019624256,0.0,3.7195560932159424,0.015625
esp_017395_1700_red-0007_missing_patch_0.3,esp_017395_1700_red-0007,esp_017395_1700,missing_patch,0.3,0.9156581472334048,0.1490566037735849,4.261746883392334,0.03228759765625
esp_017395_1700_red-0007_missing_patch_0.5,esp_017395_1700_red-0007,esp_017395_1700,missing_patch,0.5,0.9599633534749349,0.2975609756097561,4.645491123199463,0.0625
esp_017395_1700_red-0007_local_blur_0.15,esp_017395_1700_red-0007,esp_017395_1700,local_blur,0.15,0.5991544856409722,0.0,1.2171560525894165,0.08355712890625
esp_017395_1700_red-0007_local_blur_0.3,esp_017395_1700_red-0007,esp_017395_1700,local_blur,0.3,0.5521318806193737,0.0,1.0213298797607422,0.11285400390625
esp_017395_1700_red-0007_local_blur_0.5,esp_017395_1700_red-0007,esp_017395_1700,local_blur,0.5,0.5364665747994893,0.0,0.9658352732658386,0.15875244140625
esp_017395_1700_red-0007_patch_duplication_0.15,esp_017395_1700_red-0007,esp_017395_1700,patch_duplication,0.15,0.4212401859343998,0.0,0.6245758533477783,0.015625
esp_017395_1700_red-0007_patch_duplication_0.3,esp_017395_1700_red-0007,esp_017395_1700,patch_duplication,0.3,0.510199414709987,0.0,1.0238739252090454,0.03228759765625
