variant,dimension,value,auroc,auprc,precision,recall,f1,fpr,tpr,tp,fp,tn,fn,median_anomaly_score,paired_anomaly_gt_clean,paired_n,n,threshold
complete_three_mean,family,foreign_content,0.58203125,0.802315718135933,0.8333333333333334,0.10416666666666667,0.1851851851851852,0.0625,0.10416666666666667,5,1,15,43,0.1581340730190277,0.8541666666666666,48,64,2.1704964637756348
complete_three_mean,family,local_blur,0.5455729166666666,0.7906735811846622,0.75,0.0625,0.11538461538461539,0.0625,0.0625,3,1,15,45,-0.05656480882316828,0.8125,48,64,2.1704964637756348
complete_three_mean,family,missing_patch,0.7356770833333334,0.8632891063681292,0.9,0.1875,0.31034482758620696,0.0625,0.1875,9,1,15,39,0.8895258903503418,0.9375,48,64,2.1704964637756348
complete_three_mean,family,patch_duplication,0.4557291666666667,0.7467505799090866,0.75,0.0625,0.11538461538461539,0.0625,0.0625,3,1,15,45,-0.17582622170448303,0.14583333333333334,48,64,2.1704964637756348
complete_three_mean,family,stripes,0.6575520833333334,0.8128843227702748,0.8,0.08333333333333333,0.1509433962264151,0.0625,0.08333333333333333,4,1,15,44,1.0848581194877625,0.5833333333333334,48,64,2.1704964637756348
complete_three_mean,severity,0.15,0.546875,0.874078716695463,0.8888888888888888,0.08333333333333333,0.15238095238095237,0.0625,0.08333333333333333,8,1,15,88,0.07826037518680096,0.6145833333333334,96,112,2.1704964637756348
complete_three_mean,severity,0.3,0.6217447916666666,0.8951174119758117,0.9,0.09375,0.169811320754717,0.0625,0.09375,9,1,15,87,0.3839025944471359,0.7708333333333334,96,112,2.1704964637756348
complete_three_mean,severity,0.5,0.6595052083333334,0.911846076682106,0.9375,0.15625,0.26785714285714285,0.0625,0.15625,15,1,15,81,0.7376526594161987,0.78125,96,112,2.1704964637756348
complete_three_max,family,dead_pixels,0.7174479166666666,0.8071123446534264,0.7,0.14583333333333334,0.2413793103448276,0.1875,0.14583333333333334,7,3,13,41,1.2718179821968079,0.7083333333333334,48,64,3.903651475906372
complete_three_max,family,foreign_content,0.5625,0.7800829146523512,0.625,0.10416666666666667,0.1785714285714286,0.1875,0.10416666666666667,5,3,13,43,0.6110086143016815,0.6458333333333334,48,64,3.903651475906372
complete_three_max,family,local_blur,0.5703125,0.7874222747251817,0.7,0.14583333333333334,0.2413793103448276,0.1875,0.14583333333333334,7,3,13,41,0.4130236655473709,0.6041666666666666,48,64,3.903651475906372
complete_three_max,family,missing_patch,0.6953125,0.8379323967501168,0.7272727272727273,0.16666666666666666,0.2711864406779661,0.1875,0.16666666666666666,8,3,13,40,1.270700454711914,0.9166666666666666,48,64,3.903651475906372
complete_three_max,family,patch_duplication,0.4830729166666667,0.7426483189944186,0.6666666666666666,0.125,0.21052631578947367,0.1875,0.125,6,3,13,42,0.38314320147037506,0.4166666666666667,48,64,3.903651475906372
complete_three_max,family,stripes,0.74609375,0.9049977661308983,0.8695652173913043,0.4166666666666667,0.5633802816901409,0.1875,0.4166666666666667,20,3,13,28,2.859760880470276,0.6875,48,64,3.903651475906372
complete_three_max,severity,0.15,0.556640625,0.8704739085411115,0.7857142857142857,0.11458333333333333,0.19999999999999998,0.1875,0.11458333333333333,11,3,13,85,0.566941887140274,0.5625,96,112,3.903651475906372
complete_three_max,severity,0.3,0.6223958333333334,0.8867118263884576,0.8125,0.13541666666666666,0.23214285714285712,0.1875,0.13541666666666666,13,3,13,83,1.196251928806305,0.65625,96,112,3.903651475906372
complete_three_max,severity,0.5,0.7083333333333334,0.9300857342161034,0.90625,0.3020833333333333,0.453125,0.1875,0.3020833333333333,29,3,13,67,1.6784327030181885,0.7708333333333334,96,112,3.903651475906372
