variant,dimension,value,auroc,auprc,precision,recall,f1,fpr,tpr,tp,fp,tn,fn,median_anomaly_score,paired_anomaly_gt_clean,paired_n,n,threshold
DINO_only_mean,family,stripes,0.9354654947916666,0.9204726970324185,0.8458149779735683,1.0,0.9164677804295943,0.2734375,1.0,192,35,93,0,1.5246472078302526,0.9583333333333334,192,320,0.27350429753012817
DINO_only_mean,severity,0.2,0.7790305397727273,0.8833788876593431,0.8694029850746269,0.6619318181818182,0.7516129032258064,0.2734375,0.6619318181818182,233,35,93,119,0.9415330106964162,0.7471590909090909,352,480,0.27350429753012817
DINO_only_mean,severity,0.5,0.8335404829545454,0.9161973247994802,0.8867313915857605,0.7784090909090909,0.8290468986384267,0.2734375,0.7784090909090909,274,35,93,78,1.2418518769406095,0.8323863636363636,352,480,0.27350429753012817
DINO_only_mean,severity,0.8,0.8651677911931818,0.9331922871147343,0.8945783132530121,0.84375,0.8684210526315789,0.2734375,0.84375,297,35,93,55,1.291897537221919,0.8920454545454546,352,480,0.27350429753012817
spectral_only_mean,family,block corruption,0.7650553385416666,0.8491148207750804,0.8738738738738738,0.5052083333333334,0.6402640264026402,0.109375,0.5052083333333334,97,14,114,95,2.469492088382812,1.0,192,320,2.4084435327258644
spectral_only_mean,family,blur/noise,0.82470703125,0.8173403985828861,0.8181818181818182,0.65625,0.7283236994219653,0.109375,0.65625,63,14,114,33,2.6337739602459562,0.9791666666666666,96,224,2.4084435327258644
spectral_only_mean,family,clipping,0.8907063802083334,0.8792590490069628,0.8205128205128205,0.6666666666666666,0.7356321839080459,0.109375,0.6666666666666666,64,14,114,32,4.235067177676144,1.0,96,224,2.4084435327258644
spectral_only_mean,family,dead lines/pixels,0.9938151041666666,0.9959525904072086,0.9313725490196079,0.9895833333333334,0.9595959595959597,0.109375,0.9895833333333334,190,14,114,2,7.9365200241168505,1.0,192,320,2.4084435327258644
spectral_only_mean,family,foreign/synthetic contamination,1.0,1.0,0.8727272727272727,1.0,0.9320388349514563,0.109375,1.0,96,14,114,0,14.943029334321734,1.0,96,224,2.4084435327258644
spectral_only_mean,family,missing crop,0.9049479166666666,0.8835066171015092,0.8390804597701149,0.7604166666666666,0.7978142076502732,0.109375,0.7604166666666666,73,14,114,23,3.5776505851379694,1.0,96,224,2.4084435327258644
spectral_only_mean,family,patch duplication,0.58203125,0.5503368582979703,0.5757575757575758,0.19791666666666666,0.29457364341085274,0.109375,0.19791666666666666,19,14,114,77,0.38239153025054096,0.9479166666666666,96,224,2.4084435327258644
spectral_only_mean,family,stripes,0.8877360026041666,0.8753748345481279,0.8823529411764706,0.546875,0.6752411575562701,0.109375,0.546875,105,14,114,87,2.5327943455449917,1.0,192,320,2.4084435327258644
spectral_only_mean,severity,0.2,0.8336292613636364,0.9357363875677924,0.9363636363636364,0.5852272727272727,0.7202797202797204,0.109375,0.5852272727272727,206,14,114,146,3.013895846350993,0.9943181818181818,352,480,2.4084435327258644
spectral_only_mean,severity,0.5,0.8816361860795454,0.9548833644334523,0.9508771929824561,0.7698863636363636,0.8508634222919937,0.109375,0.7698863636363636,271,14,114,81,3.4523193444746445,0.9971590909090909,352,480,2.4084435327258644
spectral_only_mean,severity,0.8,0.8744451349431818,0.9541515943287371,0.9426229508196722,0.6534090909090909,0.7718120805369127,0.109375,0.6534090909090909,230,14,114,122,4.62143216608559,0.9886363636363636,352,480,2.4084435327258644
DINO_spectral_mean,family,block corruption,0.8513590494791666,0.9061745712914309,0.825136612021858,0.7864583333333334,0.8053333333333333,0.25,0.7864583333333334,151,32,96,41,1.4176500988843168,0.9479166666666666,192,320,0.6124267766787462
